k,aic,bic,log_likelihood,runtime_sec
3,-7769132.73933186,-7766381.207911356,32.59321405518768,2.637820122999983
4,-10096812.198381979,-10093140.260324335,42.3584225383498,2.087233518001085
5,-11663727.269717798,-11659134.925023014,48.93229105022903,2.0028191410001455
6,-11545233.885650098,-11539721.134318173,48.43601871623137,2.679182462999961
7,-11993621.281537578,-11987188.123568512,50.317761601187904,3.261089151001215
8,-13320468.923897823,-13313115.359291617,55.88456827596577,5.263974233999761
9,-13880784.881255984,-13872510.910012638,58.23584167249473,4.02408216799995
10,-13757385.000630254,-13748190.622749768,57.71898701519504,3.818374730999494
