method,k,silhouette,calinski_harabasz,davies_bouldin,min_cluster_share_pct
K-Means k=8,8,0.14606458673855643,2294.689362905953,1.638192908825659,3.3173367340089936
GMM k=9 (diag),9,0.027793338298837143,740.429119645901,4.659044716879603,2.2417611920263107
