k,runs,ari_standard_vs_robust_mean,ari_standard_vs_robust_std,ari_standard_vs_robust_min
3,10,0.18561589948923812,0.0006649084944514164,0.1846463775791674
4,10,0.2832000507189873,0.0023744671286514054,0.2817447638195637
5,10,0.21295465432837402,0.04668243626145742,0.11018966407805
6,10,0.3175144459915252,0.04917595101891943,0.2433029788929647
7,10,0.1897791981149028,0.07056906518753266,0.1304785044342467
8,10,0.2653238093076311,0.012505899096657974,0.25790510504467706
