k,silhouette_mean,silhouette_std,ch_mean,db_mean,min_share_mean,runtime_mean
3,0.2939884888021378,0.0,300.4178653391414,1.8539473864878822,0.057,0.014684677124023438
4,0.24750815953506103,0.0,350.4679892944582,1.3288293942865774,0.035,0.02129371960957845
5,0.032760514899076915,0.0,254.1991719200153,1.793931014508254,0.057,0.03170482317606608
6,0.06554867356518342,0.003791832789615502,280.77435347565824,1.7190372268941578,0.04966666666666667,0.0354466438293457
7,0.0979352753524342,0.0,330.63197900887195,1.5989085122197666,0.035,0.07022547721862793
8,0.09008212794636221,0.02334567961741376,301.8381525258473,1.7924812267838597,0.030555555555555558,0.06721695264180501
