representation,k,runs,silhouette_mean,silhouette_std,calinski_mean,davies_mean,min_cluster_share_mean
final_precluster_matrix,3,10,0.11221326611170332,5.8357791157719874e-05,2524.9228720842552,2.292571303198326,0.034196925968185785
final_precluster_matrix,4,10,0.12185697141263592,0.004366744622674418,2461.174115587984,2.011529508405923,0.03392006174911068
final_precluster_matrix,5,10,0.12703432160849046,0.004803837471071038,2408.6006959944707,1.8596214065762784,0.033789180481911534
final_precluster_matrix,6,10,0.13414969625468315,7.800104252165442e-05,2383.9795993452594,1.774853775417548,0.0335978924760051
final_precluster_matrix,7,10,0.13778599057684163,0.0016382157806269246,2309.320607236336,1.734896189302432,0.032143935834619775
final_precluster_matrix,8,10,0.1454839200577343,0.00041281248989643384,2293.9278688877725,1.6399020069524664,0.032120444325122496
robust_final_precluster_matrix,3,10,0.11503814171369664,1.4208363694906492e-05,2737.859702927624,2.306634506450502,0.1634690247667629
robust_final_precluster_matrix,4,10,0.12702487934126264,8.026548008824377e-06,2608.7026946852343,2.1314990764117754,0.14404825827236728
robust_final_precluster_matrix,5,10,0.12671975964321447,1.9633221432698976e-05,2299.680877380307,2.0828130691957663,0.11967413920397343
robust_final_precluster_matrix,6,10,0.13125558035358995,0.005574865078919376,2111.336637163432,1.9877927160774935,0.044549969796630645
robust_final_precluster_matrix,7,10,0.128313333833659,0.0034135392788104063,1990.9026121393351,2.028844034323309,0.017401335660111417
robust_final_precluster_matrix,8,10,0.13129964111717082,0.0019346681477241572,1894.4498131166165,1.9844837373449138,0.01490704074098933
