k_graph,silhouette_mean,silhouette_std,min_share_mean,runtime_mean
10,0.22583834467790623,0.0029573354661670452,0.050777777777777776,1.5299355189005535
15,0.2939884888021378,0.0,0.057,1.3155804475148518
20,0.2939884888021378,0.0,0.057,1.4989436467488606
