model,k,runs,silhouette_mean,silhouette_std,calinski_mean,davies_mean,inertia_mean,init_seconds_mean,fit_seconds_mean,total_seconds_mean,min_cluster_share_mean
ikmeans,48,1,0.11677112049904004,,806.5331921233186,2.007579700063051,540701.8520087063,12.9341,1.1817,14.1157,0.007550842338411974
kmeans,8,10,0.1454839200573262,0.0004128124898939469,2293.927868887773,1.6399020069524664,859719.8556094002,0.0,8.405809999999999,8.405809999999999,0.032120444325122496
kmeans,7,10,0.13778599928231913,0.0016382337660304413,2309.320917396702,1.7349022146030393,915057.6574019076,0.0,9.33193,9.33193,0.032143935834619775
kmeans,6,10,0.13414969625472392,7.800104252160808e-05,2383.9795993452594,1.7748537754175484,971070.3967507714,0.0,7.85509,7.85509,0.0335978924760051
kmeans,5,10,0.1270343216085425,0.004803837471078841,2408.6006959944702,1.8596214065762784,1045877.0419964951,0.0,7.273560000000001,7.273560000000001,0.033789180481911534
kmeans,4,10,0.12185697141268699,0.004366744622674465,2461.174115587984,2.011529508405923,1132006.832714114,0.0,8.27419,8.27419,0.03392006174911068
kmeans,3,10,0.11221326611175508,5.8357791157724244e-05,2524.922872084255,2.2925713031983257,1237167.738283323,0.0,6.593299999999999,6.593299999999999,0.034196925968185785
