representation,k,seed_a,seed_b,ari_between_runs
final_precluster_matrix,5,42,512,0.9743888729255282
final_precluster_matrix,5,42,1024,0.9731906770511157
final_precluster_matrix,5,42,2026,0.9746285487179328
final_precluster_matrix,5,84,123,0.9855378709592444
final_precluster_matrix,5,84,168,0.3585174856457764
final_precluster_matrix,5,84,256,0.9997865536443348
final_precluster_matrix,5,84,512,0.9758192753557718
final_precluster_matrix,5,84,1024,0.977799668421788
final_precluster_matrix,5,84,2026,0.9755794152741091
final_precluster_matrix,5,123,168,0.3546303096987914
final_precluster_matrix,5,123,256,0.9857493137240765
final_precluster_matrix,5,123,512,0.9899452026635134
final_precluster_matrix,5,123,1024,0.9920051273079755
final_precluster_matrix,5,123,2026,0.9897030533129564
final_precluster_matrix,5,168,256,0.35846530814590294
final_precluster_matrix,5,168,512,0.35295673187327387
final_precluster_matrix,5,168,1024,0.3531717950656368
final_precluster_matrix,5,168,2026,0.35295810626260793
final_precluster_matrix,5,256,512,0.9760293347268698
final_precluster_matrix,5,256,1024,0.978010010805413
final_precluster_matrix,5,256,2026,0.975789440356534
final_precluster_matrix,5,512,1024,0.9979291850303238
final_precluster_matrix,5,512,2026,0.9997562381727142
final_precluster_matrix,5,1024,2026,0.9976857540731748
final_precluster_matrix,6,7,21,0.9920489076863235
final_precluster_matrix,6,7,42,0.9957579812436587
final_precluster_matrix,6,7,84,0.9936687553548961
final_precluster_matrix,6,7,123,0.9919556136301454
final_precluster_matrix,6,7,168,0.9956406320566612
final_precluster_matrix,6,7,256,0.9968481686501534
final_precluster_matrix,6,7,512,0.996090019572415
final_precluster_matrix,6,7,1024,0.9905154114688477
final_precluster_matrix,6,7,2026,0.9950008782662478
final_precluster_matrix,6,21,42,0.9908787139917279
final_precluster_matrix,6,21,84,0.9983328827941572
final_precluster_matrix,6,21,123,0.9997531850145089
final_precluster_matrix,6,21,168,0.9907136082358661
final_precluster_matrix,6,21,256,0.9897048691569117
final_precluster_matrix,6,21,512,0.9945998713984591
final_precluster_matrix,6,21,1024,0.9969292322547626
final_precluster_matrix,6,21,2026,0.9957295871954415
final_precluster_matrix,6,42,84,0.9924824638224972
final_precluster_matrix,6,42,123,0.9907294419797831
final_precluster_matrix,6,42,168,0.9996893822307635
final_precluster_matrix,6,42,256,0.9982573046002128
final_precluster_matrix,6,42,512,0.9959937827216783
final_precluster_matrix,6,42,1024,0.9889675926631053
final_precluster_matrix,6,42,2026,0.992726820871905
final_precluster_matrix,6,84,123,0.9982395648169209
final_precluster_matrix,6,84,168,0.9923172090215535
final_precluster_matrix,6,84,256,0.9913076951012683
final_precluster_matrix,6,84,512,0.9962066720956674
final_precluster_matrix,6,84,1024,0.9960455742379392
final_precluster_matrix,6,84,2026,0.9962500576795488
final_precluster_matrix,6,123,168,0.9905643593746957
final_precluster_matrix,6,123,256,0.9895555008463656
final_precluster_matrix,6,123,512,0.9944502981809938
final_precluster_matrix,6,123,1024,0.997175588854574
final_precluster_matrix,6,123,2026,0.9959190616497544
final_precluster_matrix,6,168,256,0.9983664607624475
final_precluster_matrix,6,168,512,0.995828205117184
final_precluster_matrix,6,168,1024,0.9887546197297327
final_precluster_matrix,6,168,2026,0.9924170916439895
final_precluster_matrix,6,256,512,0.9949084484468697
final_precluster_matrix,6,256,1024,0.9878125209242196
final_precluster_matrix,6,256,2026,0.9922433515000832
final_precluster_matrix,6,512,1024,0.9923093295482882
final_precluster_matrix,6,512,2026,0.9936879233504213
final_precluster_matrix,6,1024,2026,0.9953616274975379
final_precluster_matrix,7,7,21,1.0
final_precluster_matrix,7,7,42,0.9981338453110586
final_precluster_matrix,7,7,84,0.5682656235036411
final_precluster_matrix,7,7,123,0.9981630512527995
final_precluster_matrix,7,7,168,0.9989385689554934
final_precluster_matrix,7,7,256,0.41981875703746385
final_precluster_matrix,7,7,512,0.9977457859100473
final_precluster_matrix,7,7,1024,0.7390061312027225
final_precluster_matrix,7,7,2026,0.7387423553538929
final_precluster_matrix,7,21,42,0.9981338453110586
final_precluster_matrix,7,21,84,0.5682656235036411
final_precluster_matrix,7,21,123,0.9981630512527995
final_precluster_matrix,7,21,168,0.9989385689554934
final_precluster_matrix,7,21,256,0.41981875703746385
final_precluster_matrix,7,21,512,0.9977457859100473
final_precluster_matrix,7,21,1024,0.7390061312027225
final_precluster_matrix,7,21,2026,0.7387423553538929
final_precluster_matrix,7,42,84,0.5680065898564147
final_precluster_matrix,7,42,123,0.9982366163567105
final_precluster_matrix,7,42,168,0.99901263179316
final_precluster_matrix,7,42,256,0.4207374075647918
final_precluster_matrix,7,42,512,0.9977373760430023
final_precluster_matrix,7,42,1024,0.7389237116004791
final_precluster_matrix,7,42,2026,0.738659699994595
final_precluster_matrix,7,84,123,0.5690650457909545
final_precluster_matrix,7,84,168,0.5688501314847089
final_precluster_matrix,7,84,256,0.5401066167432907
final_precluster_matrix,7,84,512,0.5695762133614151
final_precluster_matrix,7,84,1024,0.7683064545959697
final_precluster_matrix,7,84,2026,0.7685608968035923
final_precluster_matrix,7,123,168,0.9992240087390202
final_precluster_matrix,7,123,256,0.4200540359777181
final_precluster_matrix,7,123,512,0.9979522037031406
final_precluster_matrix,7,123,1024,0.7398052019286062
final_precluster_matrix,7,123,2026,0.7395411518997036
final_precluster_matrix,7,168,256,0.42006926763497865
final_precluster_matrix,7,168,512,0.9986433973511825
final_precluster_matrix,7,168,1024,0.7397065118268674
final_precluster_matrix,7,168,2026,0.7394425266117267
final_precluster_matrix,7,256,512,0.4206423527231561
final_precluster_matrix,7,256,1024,0.5202246910720782
final_precluster_matrix,7,256,2026,0.5202648939421892
final_precluster_matrix,7,512,1024,0.7406549477832436
final_precluster_matrix,7,512,2026,0.7403907496328357
final_precluster_matrix,7,1024,2026,0.9996752505821505
final_precluster_matrix,8,7,21,0.9992459903225398
final_precluster_matrix,8,7,42,0.998248540660781
final_precluster_matrix,8,7,84,0.9996051641730678
final_precluster_matrix,8,7,123,0.9993537917632677
