k,silhouette,calinski_harabasz,davies_bouldin,min_cluster_share,runtime_sec,method
3,0.10552545324208658,385.01808616923046,2.3712535049880135,0.035,0.222487211227417,KMeans
3,0.2939884888021378,300.4178653391414,1.8539473864878822,0.057,0.014684677124023438,SpectralClustering
4,0.27428148120905854,369.6993713791938,1.4106392885472445,0.035,0.21051526069641113,KMeans
4,0.24750815953506103,350.4679892944582,1.3288293942865774,0.035,0.02129371960957845,SpectralClustering
5,0.12294246813906648,366.483916919685,1.888655674513029,0.035,0.27770447731018066,KMeans
5,0.032760514899076915,254.1991719200153,1.793931014508254,0.057,0.03170482317606608,SpectralClustering
6,0.13401591903778493,363.0975289937247,1.7860652390819094,0.035,0.25724101066589355,KMeans
6,0.06554867356518342,280.77435347565824,1.7190372268941578,0.04966666666666667,0.0354466438293457,SpectralClustering
7,0.1382814908443465,358.9579875176612,1.7013860557063218,0.027666666666666666,0.2886366844177246,KMeans
7,0.0979352753524342,330.63197900887195,1.5989085122197666,0.035,0.07022547721862793,SpectralClustering
8,0.1454680446885745,354.0984457450317,1.649447137091982,0.013666666666666667,0.5190224647521973,KMeans
8,0.09008212794636221,301.8381525258473,1.7924812267838597,0.030555555555555558,0.06721695264180501,SpectralClustering
