timestamp_utc,model,k,seed,init_seconds,fit_seconds,total_seconds,inertia,silhouette,calinski_harabasz,davies_bouldin,min_cluster_share,ikm_extracted_clusters
2026-04-30T20:43:25,kmeans,3,7,0.0,5.6299,5.6299,1237167.452317608,0.11227689944894471,2524.901069141653,2.292439615236865,0.034196925968185785,
2026-04-30T20:43:45,kmeans,3,21,0.0,6.1571,6.1571,1237168.0171039267,0.1121839600242903,2524.947352488642,2.2926128658857583,0.034196925968185785,
2026-04-30T20:44:06,kmeans,3,42,0.0,6.4005,6.4005,1237167.5992173336,0.1122932184980776,2524.9014817166913,2.292434081400238,0.034196925968185785,
2026-04-30T20:44:26,kmeans,3,84,0.0,6.4055,6.4055,1237167.8195813445,0.1121010656889476,2524.9094705924554,2.2926324069746276,0.034196925968185785,
2026-04-30T20:44:47,kmeans,3,123,0.0,6.1539,6.1539,1237168.0543729002,0.1121839600242903,2524.947352488642,2.292612865885758,0.034196925968185785,
2026-04-30T20:45:06,kmeans,3,168,0.0,6.4927,6.4927,1237168.0672859298,0.1121839600242903,2524.947352488642,2.2926128658857583,0.034196925968185785,
2026-04-30T20:45:26,kmeans,3,256,0.0,6.269,6.269,1237166.7791628214,0.11223158524468613,2524.8754423834935,2.2927531758351654,0.034196925968185785,
2026-04-30T20:45:47,kmeans,3,512,0.0,7.1204,7.1204,1237168.026381242,0.1121839600242903,2524.947352488642,2.292612865885758,0.034196925968185785,
2026-04-30T20:46:08,kmeans,3,1024,0.0,7.1444,7.1444,1237167.855326905,0.11221901073196228,2524.944472175992,2.292602618107921,0.034196925968185785,
2026-04-30T20:46:30,kmeans,3,2026,0.0,8.1596,8.1596,1237167.712083218,0.11227504140777139,2524.9073748776937,2.2923996708854095,0.034196925968185785,
2026-04-30T20:46:51,kmeans,4,7,0.0,7.6439,7.6439,1131047.5373320573,0.12332189322355694,2468.725198798406,1.9973224867511004,0.03391167192429022,
2026-04-30T20:47:11,kmeans,4,21,0.0,6.4875,6.4875,1131047.1177094933,0.1232811466965429,2468.703405499821,1.9973757296875088,0.03391167192429022,
2026-04-30T20:47:30,kmeans,4,42,0.0,7.6417,7.6417,1131048.0579812701,0.12324675599220677,2468.733700213307,1.9974918502449752,0.03391167192429022,
2026-04-30T20:47:49,kmeans,4,84,0.0,6.6622,6.6622,1131049.0869344242,0.12294812993984844,2468.6819574882074,1.9976465665938248,0.033903282099469766,
2026-04-30T20:48:14,kmeans,4,123,0.0,10.7756,10.7756,1140636.2518429253,0.10943256550319484,2393.2146472468135,2.1383022701133756,0.03401234982213571,
2026-04-30T20:48:35,kmeans,4,168,0.0,6.5025,6.5025,1131046.8859922735,0.12327643351243293,2468.705591688002,1.9973737869639239,0.03391167192429022,
2026-04-30T20:49:03,kmeans,4,256,0.0,13.8451,13.8451,1131048.1577449692,0.12327353143748412,2468.735453866499,1.9974712360055076,0.033903282099469766,
2026-04-30T20:49:27,kmeans,4,512,0.0,9.5227,9.5227,1131048.1955557275,0.12327064967325843,2468.7450537831205,1.9974323228871358,0.03391167192429022,
