seed_a,seed_b,ari
7,21,0.6782241479963255
7,42,0.49375754074720773
7,84,0.9099342548441431
7,123,0.6453702365144247
21,42,0.4370396288634092
21,84,0.6585816360560895
21,123,0.9043263919816875
42,84,0.47935054546497047
42,123,0.453667099609116
84,123,0.6429057305669189
